array_size;threads;scheduler;chunk_size;time
2000000;1;static;1;0.010530126979575
2000000;1;static;100;0.010539679904468
2000000;1;static;10000;0.010287930024788
2000000;1;static;200000;0.010387434973381
2000000000;1;static;1;10.077704491093755
2000000000;1;static;100;10.136037350981496
2000000000;1;static;10000;10.033067333046347
2000000000;1;static;200000;10.060448748990893
2000000000;1;static;200000000;10.062948230886832
2000000;2;static;1;0.006447682972066
2000000;2;static;100;0.005692768958397
2000000;2;static;10000;0.005694392020814
2000000;2;static;200000;0.005484830937348
2000000000;2;static;1;5.276421291986480
2000000000;2;static;100;5.316030867048539
2000000000;2;static;10000;5.296648130053654
2000000000;2;static;200000;5.179896565969102
2000000000;2;static;200000000;5.036735947011039
2000000;3;static;1;0.004410835099407
2000000;3;static;100;0.004278106032871
2000000;3;static;10000;0.004161533084698
2000000;3;static;200000;0.004017378087156
2000000000;3;static;1;3.698511830996722
2000000000;3;static;100;3.682602289016359
2000000000;3;static;10000;3.693129828083329
2000000000;3;static;200000;3.480067102005705
2000000000;3;static;200000000;4.030347669031471
2000000;4;static;1;0.003699486958794
2000000;4;static;100;0.003516808035783
2000000;4;static;10000;0.003402700996958
2000000;4;static;200000;0.003179723047651
2000000000;4;static;1;2.961063905037008
2000000000;4;static;100;2.926540068001486
2000000000;4;static;10000;2.943434752989560
2000000000;4;static;200000;2.624326135963202
2000000000;4;static;200000000;3.030100514064543
2000000;5;static;1;0.003328916034661
2000000;5;static;100;0.003133218036965
2000000;5;static;10000;0.002994477981701
2000000;5;static;200000;0.002511267084628
2000000000;5;static;1;2.575812340946868
2000000000;5;static;100;2.442701897001825
2000000000;5;static;10000;2.481671868939884
2000000000;5;static;200000;2.177926672971807
2000000000;5;static;200000000;2.024301578989252
2000000;6;static;1;0.003207284957170
2000000;6;static;100;0.003041631076485
2000000;6;static;10000;0.002546461997554
2000000;6;static;200000;0.002601905027404
2000000000;6;static;1;2.805919276084751
2000000000;6;static;100;2.176091426983476
2000000000;6;static;10000;2.196067293058150
2000000000;6;static;200000;1.839901095023379
2000000000;6;static;200000000;2.027336767991073
2000000;7;static;1;0.003039473085664
2000000;7;static;100;0.004807044984773
2000000;7;static;10000;0.002539686975069
2000000;7;static;200000;0.002528744051233
2000000000;7;static;1;2.407447003992274
2000000000;7;static;100;2.030211127945222
2000000000;7;static;10000;2.006637426908128
2000000000;7;static;200000;1.573152962024324
2000000000;7;static;200000000;2.025244435993955
2000000;8;static;1;0.003063331008889
2000000;8;static;100;0.003520751954056
2000000;8;static;10000;0.002421302022412
2000000;8;static;200000;0.002202705014497
2000000000;8;static;1;2.809861390036531
2000000000;8;static;100;1.914299163967371
2000000000;8;static;10000;1.877408009022474
2000000000;8;static;200000;1.422958852024749
2000000000;8;static;200000000;2.031665135989897
2000000;1;dynamic;1;0.025266651995480
2000000;1;dynamic;100;0.010382130043581
2000000;1;dynamic;10000;0.010165471001528
2000000;1;dynamic;200000;0.010137254954316
2000000000;1;dynamic;1;25.131501084077172
2000000000;1;dynamic;100;10.290237899986096
2000000000;1;dynamic;10000;10.073708766023628
2000000000;1;dynamic;200000;10.059989825938828
2000000000;1;dynamic;200000000;10.036620835075155
2000000;2;dynamic;1;0.121120580937713
2000000;2;dynamic;100;0.006438035983592
2000000;2;dynamic;10000;0.005611081956886
2000000;2;dynamic;200000;0.005412138067186
2000000000;2;dynamic;1;121.027440725010820
2000000000;2;dynamic;100;5.959737971075810
2000000000;2;dynamic;10000;5.370405014022253
2000000000;2;dynamic;200000;5.193717262009159
2000000000;2;dynamic;200000000;5.038921061088331
2000000;3;dynamic;1;0.095665454980917
2000000;3;dynamic;100;0.004998455988243
2000000;3;dynamic;10000;0.004102724953555
2000000;3;dynamic;200000;0.003891043015756
2000000000;3;dynamic;1;98.092868966981769
2000000000;3;dynamic;100;4.383327279007062
2000000000;3;dynamic;10000;3.824422296020202
2000000000;3;dynamic;200000;3.532747296034358
2000000000;3;dynamic;200000000;4.035465731984004
2000000;4;dynamic;1;0.092181486077607
2000000;4;dynamic;100;0.004339053994045
2000000;4;dynamic;10000;0.003275675000623
2000000;4;dynamic;200000;0.003550996072590
2000000000;4;dynamic;1;94.619131196057424
2000000000;4;dynamic;100;3.546957031008787
2000000000;4;dynamic;10000;3.067259853938594
2000000000;4;dynamic;200000;2.638445439981297
2000000000;4;dynamic;200000000;3.030719974078238
2000000;5;dynamic;1;0.103280584095046
